COMP 1001,,,,
COMP 1004,,,,
COMP 1005,,,,
COMP 1006,,,,
COMP 1405,,,,
COMP 1406,"[""COMP 1405"", ""COMP 1001""]",,,
COMP 1501,,,,
COMP 1601,"[""COMP 1405"", ""COMP 1001""]",,,
COMP 1805,'One Grade 12 university preparation mathematics course.,,,
COMP 1807,"[""COMP 1405"", ""COMP 1001""]",,,
COMP 2401,"[""COMP 1406"", ""COMP 1006""]",'A minimum grade of C-,,
COMP 2402,"[""COMP 1406"", ""COMP 1006""]",'A minimum grade of C-,,
COMP 2404,"[""COMP 2401""]",,,
COMP 2406,"[""COMP 1406"", ""COMP 1006""]",,,
COMP 2501,"[""MATH 1004""]","[""COMP 1501""]","[""COMP 1406"", ""COMP 1006""]","[""COMP 2401""]"
COMP 2601,"[""COMP 1601""]",,,
COMP 2804,"[""COMP 1805"", ""MATH 1800""]",,,
COMP 2807,"[""COMP 1807""]",,,
COMP 3000,"[""COMP 2402""]","[""COMP 2401""]",,
COMP 3002,"[""COMP 2402""]",,,
COMP 3004,"[""COMP 2404""]",,,
COMP 3005,"[""COMP 2402""]",,,
COMP 3007,"[""COMP 2402""]",,,
COMP 3008,"[""COMP 2404""]","[""COMP 2405"", ""COMP 2406""]",,
COMP 3009,"[""COMP 2401""]","[""COMP 2402""]","[""MATH 1007""]","[""MATH 1104""]"
COMP 3203,"[""COMP 2402"", ""SYSC 2100""]","[""COMP 2401""]",,
COMP 3308,"[""BIOC 2200"", ""BIOC 2200""]",,,
COMP 3501,"[""COMP 2402""]","[""COMP 2404""]","[""COMP 2501""]",
COMP 3601,"[""COMP 2601""]","[""COMP 2406""]",,
COMP 3801,"[""COMP 2804""]",'A minimum grade of B+,,
COMP 3802,"[""COMP 2804""]","[""COMP 2402""]",,
COMP 3803,"[""COMP 2804""]",,,
COMP 3804,"[""COMP 2402""]","[""COMP 1805"", [""MATH 2007""]]",,
COMP 3805,"[""MATH 2100""]",,,
COMP 3806,DNI,,,
COMP 3807,DNI,,,
COMP 3999,DNI,,,
COMP 4000,"[""COMP 3203""]","[""COMP 3000""]",,
COMP 4001,"[""COMP 2406"", ""COMP 2006""]",,,
COMP 4002,"[""COMP 2404""]",,,
COMP 4003,"[""COMP 3005""]","[""COMP 2404""]",,
COMP 4004,"[""COMP 3004""]",,,
COMP 4009,"[""COMP 2804""]","[""COMP 2402""]","[""COMP 2404""]",
COMP 4102,"[""MATH 1104"", ""MATH 1107""]","[""COMP 2404""]",,
COMP 4104,"[""COMP 3004""]","[""COMP 2406""]",,
COMP 4106,"[""COMP 2404""]","[""COMP 2402""]",,
COMP 4107,"[""COMP 3007""]",,,
COMP 4108,"[""COMP 3203""]","[""COMP 3000""]",,
COMP 4109,"[""COMP 2402""]",'A math course at the 2000-level or higher.,,
COMP 4203,"[""COMP 3203""]",,,
COMP 4300,"[""COMP 3804""]",,,
COMP 4308,"[""BIOC 3101""]",,,
COMP 4501,"[""COMP 3501""]",,,
COMP 4601,"[""COMP 2601"", ""COMP 2404""]",,,
COMP 4803,"[""MATH 2100"", ""COMP 3805""]",,,
COMP 4804,"[""COMP 3804""]",,,
COMP 4805,"[""COMP 3805"", ""MATH 3106"", ""MATH 3158""]",,,
COMP 4806,"[""MATH 1102"", ""MATH 2107""]","[""MATH 2001"", ""MATH 3009""]",,
COMP 4900,'Permission of the school of computer science,,,
COMP 4901,'Permission of the school of computer science,,,
COMP 4905,'registration in the B.C.S. Honours program or one of the Combined Computer Science Honours programs and permission of the School of Computer Science.,,,
